STATION X(m) Y(m) Z(m) v(X)m/a v(Y)m/a v(Z)m/a EPOCA σ_X(m) σ_Y(m) σ_Z(m) σ_vX(m) σ_vY(m) σ_vZ(m)
3009_GPS 1148305.68848 -6272976.99401 109354.15582 0.01422 0.00357 0.01532 2011.000 0.0028 0.0098 0.0019 0.00040 0.00130 0.00030
AHUA_GPS 1374894.77437 -6227472.31738 -117323.96212 0.00160 -0.01085 0.00865 2011.000 0.0045 0.0144 0.0025 0.00080 0.00220 0.00040
ALAM_GPS 1102306.51980 -6267609.67614 -444220.21367 -0.00523 0.03076 0.00672 2011.000 0.0092 0.0274 0.0054 0.00410 0.01290 0.00220
ALTA_GPS 1315523.73481 -6240479.34440 137882.85691 -0.00014 0.01079 0.01516 2011.000 0.0067 0.0206 0.0044 0.00510 0.01780 0.00280
AMAL_GPS 1166953.22320 -6251630.86286 -506170.92317 0.00109 -0.00547 0.00666 2011.000 0.0036 0.0132 0.0024 0.00070 0.00220 0.00040
ANCO_GPS 1008515.36710 -6292663.11243 -257526.19138 0.00472 -0.00013 0.01302 2011.000 0.0055 0.0179 0.0032 0.00090 0.00250 0.00050
ANTC_GPS 1608539.66765 -4816369.72981 -3847798.48403 0.01612 -0.00254 0.00846 2011.000 0.0014 0.0027 0.0022 0.00070 0.00140 0.00120
AQUJ_GPS 1869308.81749 -6070206.60186 612519.07644 -0.01564 0.03512 0.00817 2011.000 0.0197 0.0443 0.0099 0.02220 0.04270 0.00970
AREN_GPS 1097953.00868 -6270610.95095 -393307.66244 0.00033 0.00686 0.00810 2011.000 0.0066 0.0225 0.0045 0.00130 0.00480 0.00080
AREQ_6PS 1942826.21771 -5804070.33881 -1796894.21566 0.00424 -0.00386 0.00791 2011.000 0.0006 0.0015 0.0005 0.00040 0.00080 0.00040
ASC1_GPS 6118526.04443 -1572344.76741 -876451.00709 -0.00105 -0.00585 0.01027 2011.000 0.0069 0.0038 0.0033 0.00120 0.00060 0.00050
AU14_GPS 1447002.37877 -6211591.09647 -80727.71368 -0.00092 -0.00642 0.00896 2011.000 0.0045 0.0133 0.0029 0.00100 0.00330 0.00060
AUCA_GPS 1447466.34797 -6211636.02603 -70859.99406 -0.00373 0.00084 0.00754 2011.000 0.0005 0.0019 0.0004 0.00090 0.00350 0.00090
AYAN_GPS 1023876.14831 -6291584.87770 -219837.69060 0.00908 -0.00222 0.01225 2011.000 0.0039 0.0152 0.0025 0.00150 0.00590 0.00090
BAIS_GPS 1637343.93359 -6146451.37265 478511.44873 -0.00969 -0.00022 0.01489 2011.000 0.0118 0.0303 0.0061 0.02850 0.03530 0.00790
BALT_GPS -28821.65146 -6377927.43402 -50938.79444 0.05021 0.00438 0.01171 2011.000 0.0037 0.0121 0.0032 0.00050 0.00240 0.00050
BALZ_GPS 1117263.50665 -6277741.99810 -151195.54585 -0.00414 0.05764 0.01089 2011.000 0.0106 0.0361 0.0064 0.00300 0.01110 0.00180
BAYO_GPS 985510.51198 -6268895.12681 -640158.25923 -0.00260 -0.00082 0.00591 2011.000 0.0027 0.0042 0.0018 0.00160 0.00410 0.00110
BDOS_GPS 3143382.25605 -5359714.74434 1434875.86971 0.00800 0.01338 0.01339 2011.000 0.0065 0.0092 0.0032 0.00100 0.00140 0.00050
BHSL_GPS 1383807.63398 -6188246.72063 684577.20588 0.00615 -0.00309 0.01693 2011.000 0.0060 0.0163 0.0044 0.00370 0.01230 0.00240
BILB_GPS 1271497.26340 -6250483.17318 -160004.22121 -0.00363 -0.00445 0.00686 2011.000 0.0006 0.0023 0.0003 0.00090 0.00300 0.00070
BOGT_GPS 1744398.94906 -6116037.22979 512731.82114 -0.01116 0.04078 0.01282 2011.000 0.0062 0.0110 0.0070 0.00060 0.00140 0.00060
BRAZ_GPS 4115014.06832 -4550641.58454 -1741443.88112 -0.00106 -0.00452 0.01218 2011.000 0.0037 0.0041 0.0019 0.00060 0.00060 0.00030
BRFT_GPS 4985393.51411 -3954993.43743 -428426.63232 -0.00282 -0.00385 0.01243 2011.000 0.0084 0.0069 0.0045 0.00080 0.00060 0.00030
BRMU_GPS 2304703.39699 -4874817.16391 3395186.99368 -0.01294 0.00040 0.00690 2011.000 0.0047 0.0076 0.0059 0.00050 0.00080 0.00060
BUCM_GPS 1831641.14257 -6059722.49712 785111.63898 0.00229 0.00438 0.01559 2011.000 0.0060 0.0137 0.0042 0.00330 0.00940 0.00200
BUE1_GPS 2745499.07775 -4483636.59050 -3599054.43689 0.00302 -0.00471 0.00974 2011.000 0.0018 0.0025 0.0023 0.00050 0.00070 0.00060
BUFE_GPS 1163484.49478 -6270490.50081 -96980.39237 -0.00031 0.01406 0.01182 2011.000 0.0097 0.0270 0.0052 0.00360 0.01090 0.00180
BVEN_GPS 1432332.87750 -6200814.30967 422085.46097 0.00115 -0.00148 0.01782 2011.000 0.0061 0.0164 0.0042 0.00380 0.01240 0.00220
CABP_GPS 1060520.48041 -6289331.36789 -42733.72130 0.01274 0.00194 0.01232 2011.000 0.0005 0.0015 0.0006 0.00080 0.00210 0.00100
CAJA_GPS 1190521.27717 -6262902.58043 -304509.41125 -0.00040 0.00479 0.00799 2011.000 0.0047 0.0169 0.0029 0.00080 0.00270 0.00050
CAJM_GPS 1599636.56417 -6156649.48570 490357.40877 0.00181 0.00020 0.01718 2011.000 0.0094 0.0258 0.0058 0.00820 0.02430 0.00460
CAL0_GPS 1501897.53031 -6187614.88772 387329.03100 -0.00687 0.01697 0.02109 2011.000 0.0054 0.0136 0.0039 0.00260 0.00870 0.00150
CAME_GPS 1271548.71483 -6253386.55167 -75202.67084 0.00451 0.00337 0.01068 2011.000 0.0006 0.0020 0.0003 0.00090 0.00220 0.00040
CAPA_GPS 1055618.39939 -6290067.69744 -40786.08823 0.01999 0.00682 0.01297 2011.000 0.0014 0.0050 0.0004 0.00120 0.00490 0.00040
CAQU_GPS 1758163.04834 -6113711.96912 486465.60590 -0.00078 0.00120 0.00870 2011.000 0.0086 0.0224 0.0051 0.00700 0.01990 0.00350
CART_GPS 1567348.66613 -6075293.55237 1142850.90752 0.01079 0.00092 0.01349 2011.000 0.0041 0.0097 0.0033 0.00290 0.00940 0.00220
CASI_GPS 1274466.93465 -6253122.06003 -4045.83645 0.00504 0.00998 0.01144 2011.000 0.0061 0.0192 0.0041 0.00170 0.00590 0.00100
CATE_GPS 1279936.92288 -6251109.87472 22.93703 0.00813 -0.01111 0.00929 2011.000 0.0057 0.0180 0.0035 0.00130 0.00480 0.00070
CFAG_GPS 2016584.92310 -5050165.65439 -3323308.69613 0.00836 -0.00312 0.01010 2011.000 0.0011 0.0025 0.0017 0.00030 0.00060 0.00040
CHIS_GPS 1027491.10999 -6294072.99651 -116441.80096 0.01085 0.00300 0.01524 2011.000 0.0005 0.0018 0.0003 0.00060 0.00140 0.00040
CHON_GPS 1275781.31330 -6250090.28983 -158520.05282 0.00315 -0.01014 0.00948 2011.000 0.0005 0.0018 0.0003 0.00080 0.00190 0.00040
CHPI_GPS 4164613.88337 -4162456.91406 -2445028.73013 0.00109 -0.00666 0.01134 2011.000 0.0011 0.0011 0.0007 0.00080 0.00080 0.00050
CLPI_GPS 1180486.09522 -6259533.54378 -359832.77256 0.00196 -0.01021 0.00535 2011.000 0.0060 0.0234 0.0038 0.00290 0.01130 0.00180
CNJO_GPS 1451665.82779 -6210980.21443 26329.59529 0.00281 -0.02425 0.00965 2011.000 0.0051 0.0136 0.0034 0.00120 0.00400 0.00070
CONE_GPS 1281808.59808 -6252066.68869 -73023.43840 0.00261 0.00321 0.01031 2011.000 0.0005 0.0017 0.0003 0.00050 0.00130 0.00040
CONT_GPS 1492032.80603 -4887961.17475 -3803553.59978 0.03494 0.00021 0.01830 2011.000 0.0013 0.0025 0.0020 0.00060 0.00130 0.00100
COPO_3PS 1907040.87987 -5337379.03198 -2916334.74928 0.02456 -0.00531 0.01193 2011.000 0.0015 0.0029 0.0024 0.00090 0.00200 0.00140
CORA_GPS 1208411.06191 -6262932.00709 -125872.52711 0.00370 -0.00711 0.01069 2011.000 0.0051 0.0156 0.0035 0.00140 0.00460 0.00080
CORD_GPS 2345503.89679 -4910842.84860 -3316365.28297 0.00317 -0.00307 0.01104 2011.000 0.0046 0.0077 0.0055 0.00170 0.00330 0.00230
